,carbune,hidro,hidrocarburi,nuclear,eolian,fotovolt,biomasa,productie,consum
carbune,1,0.018962210559106192,0.46471604073283795,0.00564100833482369,-0.040795345513094355,-0.15611578842884408,0.21861723108064865,0.3038252244297812,0.517784245422156
hidro,0.018962210559106192,1,0.018552533942125016,-0.18736740458476733,0.021281679718566916,-0.2714541443764858,0.1812267439952316,0.38083092786671746,0.3999302308691606
hidrocarburi,0.46471604073283795,0.018552533942125016,1,0.3507250286352894,0.13675394764122947,-0.31395396795153235,0.2228788819813807,0.5957046844601959,0.5562143088779385
nuclear,0.00564100833482369,-0.18736740458476733,0.3507250286352894,1,0.12997511345387186,-0.16919511504014476,0.25548353641250154,0.34460314386539476,0.2071417392776755
eolian,-0.040795345513094355,0.021281679718566916,0.13675394764122947,0.12997511345387186,1,-0.17315280775870454,0.07221218641635758,0.6495569683151414,0.11697208184267388
fotovolt,-0.15611578842884408,-0.2714541443764858,-0.31395396795153235,-0.16919511504014476,-0.17315280775870454,1,-0.06738299444978683,-0.046357294467158625,-0.1997531964190701
biomasa,0.21861723108064865,0.1812267439952316,0.2228788819813807,0.25548353641250154,0.07221218641635758,-0.06738299444978683,1,0.32659660923924994,0.2717140379969019
productie,0.3038252244297812,0.38083092786671746,0.5957046844601959,0.34460314386539476,0.6495569683151414,-0.046357294467158625,0.32659660923924994,1,0.598157030655291
consum,0.517784245422156,0.3999302308691606,0.5562143088779385,0.2071417392776755,0.11697208184267388,-0.1997531964190701,0.2717140379969019,0.598157030655291,1
