,count,mean,std,min,25%,50%,75%,max
carbune,1394,801.8185078909613,166.6378457355008,231,712,799,889.75,1428
hidro,1394,1522.0875179340028,518.1696646662547,284,1134,1432.5,1856.75,3293
hidrocarburi,1394,1118.0294117647059,458.32858568726516,156,777.25,1168,1503,1923
nuclear,1394,1224.8378766140602,269.5307285097454,591,1303.25,1351,1378,1426
eolian,1394,694.5961262553802,619.5960391260622,-19,202.5,497,1049.5,2703
fotovolt,1394,290.7632711621234,417.8858679368196,-7,-2,9.5,534.25,1796
biomasa,1394,49.69296987087518,10.262967078548629,7,43,51,56,75
productie,1394,5710.825681492109,998.7222442015036,2879,5047,5586.5,6346,9070
consum,1394,6074.545911047346,995.7185523206493,2589,5329,5940.5,6769,8605
